date,title,artist,genre,duration,release_date,lyrics,identifier,gender,age
20/08/2022,It’s Not Living (If It’s Not with You),The 1975,Indie,04:09,18/10/2018,its not living if its not with you lyrics danny ran into some complications he falls asleep during conversations he's gotta search the street when he's on vacation the worst thing is that i'm in the same situation  and all i do is sit and think about you if i knew what you'd do collapse my veins wearing beautiful shoes it's not living if it's not with you and danny says we're living in a simulation but he works in a petrol station selling petrol he says it all began with his operation and i know you think you're sly but you need some imagination  and all i do is sit and think about you if i knew what you'd do collapse my veins wearing beautiful shoes it's not living if it's not with you all i do is sit and drink without you if i choose then i lose distract my brain from the terrible news it's not living if it's not with you  i can't stop sweating or control my feet got a 0stone monkey that i just can't beat i can stage a situation but i just can't eat and there's a feeling you're replacing embrace  it's true that all i do is sit and think about you if i knew what you'd do collapse my veins wearing beautiful shoes it's not living if it's not with you all i do is sit and drink without you if i choose then i lose distract my brain from the terrible news it's not living if it's not with you oh i'll try to get a job in a bank i think danny spent the time trying to pack in the drinks for me i feel sick and i know i that i'll lose but it's not living if it's not with you it's not it's not it's not living if it's not with you it's not it's not it's not it's not it's not living if it's not with you it's not living if it's not with you it's not it's not it's not it's not it's not it's not it's not living if it's not with you9embed,Javier Pena,Male,30
20/08/2022,Day by Day,Fiji Blue,Soul/R&B,02:57,24/10/2019,day by day lyrics ive been on my way up now its really far down i dont think ill feel it when i hit the ground  pre in october it feels like summertime i keep falling for you like every night been communicating through satellites its black  white  im all up in the clouds when its pouring rain aint never coming down less you call my name we should take it slow just like day by day like day by day  im all up in the clouds when its pouring rain aint never coming down less you call my name we should take it slow just like day by day like day by day   youre the only sunset that ill never forget red and orange sorbet like it is the best yet  pre in october it feels like summertime i keep falling for you like every night been communicating through satellites its black  white  im all up in the clouds when its pouring rain aint never coming down less you call my name we should take it slow just like day by day like day by day  im all up in the clouds when its pouring rain aint never coming down less you call my name we should take it slow just like day by day like day by day  im all up in the clouds when its pouring rain aint never coming down less you call my name we should take it slow just like day by day like day by dayembed,Javier Pena,Male,30
21/08/2022,Sex,The 1975,Indie,03:28,05/10/2012,sex lyrics and this is how it starts you take your shoes off in the back of my van yeah my shirt looks so good when it's just hanging off your back and she said use your hands and my spare time we've got one thing in common it's this tongue of mine she said oh she's got a boyfriend anyway  there's only minutes before i drop you off all we seem to do is talk about sex she's got a boyfriend anyway she's got a boyfriend anyway i loved your friend when i saw his film he's got a funny face but i like that 'cause he still looks cool she's got a boyfriend anyway she's got a boyfriend anyway now we're on the bed in my room and i'm about to fill his shoes but you say no you say no does he take care of you or could i easily fill his shoes but you say no you say no  now we're just outside of town and you're making your way down she's got a boyfriend anyway she's got a boyfriend anyway and i'm not trying to stop you love if we're gonna do anything we might as well just fuck she's got a boyfriend anyway she's got a boyfriend anyway  you've got your tongue pierced anyway you in your high tops any day you in your skinny jeans anyway you and your fit friends anyway i'd take them all out any day they've all got backcombs anyway you all got boyfriends anyway9embed,Javier Pena,Male,30
21/08/2022,​free love,HONNE,Indie,03:30,03/07/2020,free love lyrics imagine a house way up on a hill dog in the yard and trees in the fields it's next to the water its the prettiest scene with white picket fences or maybe surf green pre as wonderful as this all seems this is beyond our means it's just a dream it's just a dream one two three four i cant get you all that stuff but i can give you all my love free love free love are the simple things enough i got to give you all my love free love free love oh free love  imagine a place where we can be free there's noone for miles it's just you and me we might have kids maybe three but twins could be cool that would do it for me pre as wonderful as this all seems this is beyond our means it's just a dream just a dream just a dream it's just a dream i can't get you all that stuff but i can give you all my love free love free love are the simple things enough i got to give you all my love free love free love oh free love  i can't get you all that stuff all that stuff but i can give you all my love free love free love free love free love free love free love are the simple things enough i got to give you all my love free love free love oh free loveembed,Javier Pena,Male,30
21/08/2022,Affection,Fiji Blue,Soul/R&B,02:55,22/10/2020,affection lyrics look up at the sky ask it why are you also afraid never thought that i could describe such a lonelier place now there's all this space nothing can replace letting go of you was my one mistake counting every day no i'm not okay i just wanna say  i need affection doesn't matter what you say 'cause now that i don't have it i only miss it every day i need affection doesn't matter what you say 'cause now that i don't have it i only miss it every day look up at the sky ask it why are you always so far never thought that i needed light just to see in the dark now there's all this space nothin' can rеplace letting go of you was my one mistakе counting every day no i'm not okay i just wanna say  i need affection doesn't matter what you say 'cause now that i don't have it i only miss it every day i need affection doesn't matter what you say 'cause now that i don't have it i only miss it every dayembed,Javier Pena,Male,30
22/08/2022,always,keshi,Soul,02:53,28/07/2020,one two one two three lend me your ears   hey where'd you go could've sworn that you were‚ÄÖsleepin'‚ÄÖover say i don't‚ÄÖknow but i thought that we were‚ÄÖstarting over   like we always do like we always do was i a fool to think that we always would yes or no this is your last chance no beating around the bush  gone not a trace and it's almost like it never happened no not the same guess it hurt me more than i imagined   we always do like we always do was i a fool to think that we always would      like we always do like we always do was i a fool to think that we always wouldembed,Javier Pena,Male,30
22/08/2022,Location Unknown ,HONNE,Indie,04:51,25/05/2018,georgia travelling places i ain't seen you in ages but i hope you come back to me my mind's running wild with you far away i still think of you a hundred times a day   andy i still think of you too if only you knew when i'm feeling a bit down and i wanna pull through i look over your photograph and i think how much i miss you i miss you i wish i knew where i was 'cause i don't have a clue i just need to work out some way of getting me to you 'cause i will never find a love like ours out here in a million years a million years  andy  georgia my location unknown tryna find a way back home to you again i gotta get back to you gotta gotta get back to you my location unknown tryna find a way back home to you again i gotta get back to you gotta gotta get back to you  post andy  georgia i just need to know that you're safe given that i'm miles away on the first flight back to your side i don't care how long it takes i know you'll be worth the wait on the first flight back to your side   georgia travelling places i ain't seen you in ages but i hope you come back to me my mind's running wild with you far away i still think of you a hundred times a day   andy i still think of you too if only you knew i just need to work out some way of getting me to you 'cause i will never find a love like ours out here in a million years a million years  andy  georgia my location unknown tryna find a way back home to you again i gotta get back to you gotta gotta get back to you my location unknown tryna find a way back home to you again i gotta get back to you gotta gotta get back to you  post andy  georgia i just need to know that you're safe given that i'm miles away on the first flight back to your side i don't care how long it takes i know you'll be worth the wait on the first flight back to your side   andy i don't want to be wasting time without you don't want to throw away my life i need you something tells me we'll be alright yeah something tells me we'll be alright alright i don't want to be wasting time without you don't want to throw away my life i need you something tells me well be alright something tells me well be alright alright  andy my location unknown tryna find a way back home to you again i gotta get back to you gotta gotta get back to you my location unknown tryna find a way back home to you again i gotta get back to you gotta gotta get back to you  post andy  georgia i just need to know that you're safe given that i'm miles away on the first flight back to your side i don't care how long it takes i know you'll be worth the wait on the first flight back to your side   andy my location unknown my location unknown my location unknown my location unknown unknown8embed,Javier Pena,Male,30
22/08/2022,Paradise,Coldplay,Alternative Rock,03:48,12/09/2011,paradise lyrics oohoohooh oohoohooh oohoohooh oohoohooh oohoohooh oohoohooh when she was just a girl she expected the world but it flew away from her reach so she ran away in her sleep and dreamed of para para paradise para para paradise para para paradise every time she closed her eyes oohoohooh oohoohooh oohoohooh oohoohooh oohoohooh oohoohooh when she was just a girl she expected the world but it flew away from her reach and the bullets catch in her teeth pre life goes on it gets so heavy the wheel breaks the butterfly every tear a waterfall in the night the stormy night she'd close her eyes in the night the stormy night away she'd fly and dream of para para paradise para para paradise para para paradise oh ohoh ohoh ohohoh she'd dream of para para paradise para para paradise para para paradise oh ohoh ohoh ohohoh  la lala lalala la lala lalala la lala lalala lala so lying underneath those stormy skies she said oh ohohohoh i know the sun must set to rise  this could be para para paradise para para paradise this could be para para paradise oh ohoh ohoh ohohoh this could be para para paradise para para paradise this could be para para paradise oh ohoh ohoh ohohoh  break this could be para para paradise this could be para para paradise this could be para para paradise ohohohohoh ohohoh  oohoohooh oohoohooh oohoohooh oohoohooh oohoohooh oohoohooh oohoohooh oohoohooh oohoohooh oohoohooh oohoohooh00embed,Javier Pena,Male,30
23/08/2022,Paris in the Rain,Lauv,Contemporary R&B,03:25,17/11/2017,paris in the rain lyrics all i know is oohoohooh we could go anywhere we could do anything girl whatever the mood we're in all i know is oohoohooh getting lost late at night under stars finding love standing right where we are your lips they pull me in the moment you and i alone and people may be watching i don't mind 'cause anywhere with you feels right anywhere with you feels like paris in the rain paris in the rain we don't need a fancy town or bottles that we can't pronounce 'cause anywhere babe is like paris in the rain when i'm with you when i'm with you paris in the rain paris in the rain  i look at you now and i want this forever i might not deserve it but there's nothing better don't know how i ever did it all without you my heart is about to about to jump out of my chest feelings they come and they go that they do feelings they come and they go not with you the late nights and the street lights and the people look at me girl and the whole world could stop  anywhere with you feels right anywhere with you feels like paris in the rain paris in the rain we don't need a fancy town or bottles that we can't pronounce 'cause anywhere babe is like paris in the rain when i'm with you ooh when i'm with you ooh paris in the rain paris in the rain oh girl when i'm not with you all i do is miss you so come and set the mood right underneath the moonlight days in paris nights in paris paint you with my eyes closed wonder where the time goes yeah isn't it obvious isn't it obvious so come and set the mood right underneath the moonlight  'cause anywhere with you feels right anywhere with you feels like paris in the rain paris in the rain walking down an empty street puddles underneath our feet40embed,Javier Pena,Male,30
23/08/2022,Reasons You Should Care,Fiji Blue,Soul/R&B,03:16,06/05/2021,reasons you should care lyrics it's sunnier than most days you'll never see the sky if you keep looking down and if you take the wrong way then maybe you should stay instead of turning around pre slow but you keep on going i know that you're in the open hoping that you'll be okay don't stay looking out the window and how late do you plan on going nowhere afraid of all the things you don't know there's so many reasons you should care don't stay looking out the window and how late do you plan on going nowhere afraid of all the things you don't know there's so many reasons you should care  the sun is setting down soon down soon you'll never see the stars when you're all in your head you can find beauty in the night too but it's harder to see when you're stuck in a dream pre slow but you keep on going i know that you're in the open hoping that you'll be okay  don't stay looking out the window and how late do you plan on going nowhere afraid of all the things you don't know there's so many reasons you should care don't stay looking out the window and how late do you plan on going nowhere afraid of all the things you don't know there's so many reasons you should careembed,Javier Pena,Male,30
23/08/2022,Feelings,Lauv,Contemporary R&B,03:10,19/09/2019,feelings lyrics is my love too much or is it just enough for you for you 'cause it's getting late would you like to stay ah 'cause i'm bad at reading signs pre but i i wanna do whatever you wanna do if you wanted to girl we could cross that line know we've been friends and love only knows broken ends yeah that's what you said but girl let me change your mind mmm mmm mmm 'cause feelings are hard to find mmm mmm mmm feelings are hard  but i feel 'em in my chest a tiny war within but when i pull you closer girl i can't explain pre but i i wanna do whatever you wanna do if you wanted to girl we could cross that line know we've been friends and love only knows broken ends yeah that's what you said but girl let me change your mind  mmm mmm mmm 'cause feelings are hard to find mmm mmm mmm feelings are hard yeah and i know and i know that it hurts sometimes that it hurts sometimes when i'm with you and i know and i know that it hurts sometimes that it hurts sometimes but i miss you and i know and i know that it's on your mind that it's on your mind when i kiss you but i wanna do whatever you wanna do pre i wanna do whatever you wanna do if you wanted to girl we could cross that line know we've been friends and love only knows broken ends yeah that's what you said but girl let me change your mind  mmm mmm mmm 'cause feelings are hard to find mmm mmm mmm feelings are hard to find yeahembed,Javier Pena,Male,30
24/08/2022,Day 1 ,HONNE,Indie,03:54,29/03/2018,yeah yeah   you'll always be my day  day 0 when i was no one i'm nothing by myself you and no one else thankful you're my day  thankful you're my   i got lucky finding you i won big the day that i came across you 'cause when you're with me i don't feel blue not a day goes by that i would not redo pre everybody wants to love yeah that's right it's easy when you try hard enough yeah that's right   you'll always be my day  day 0 when i was no one i'm nothing by myself you and no one else thankful you're my day  i'm thankful you're my day    when i first met you it just felt right it's like i met a copy of myself that night i don't believe in fate as such but we were meant to be together that's my hunch  pre everybody wants true love it's out there if you look hard enough enough enough   you'll always be my day  day 0 when i was no one i'm nothing by myself you and no one else thankful you're my day   hour by hour minute by minute i got mad love for you and you know it i would never leave you on your own i just want you to know   you'll always be my day  day  day 0 when i was no one i'm nothing by myself you and no one else thankful you're my day  thankful you're my day  you'll always be my day  day 0 when i was no one i'm nothing by myself you and no one else thankful you're my day  day    day  day  day  day  thankful you're my day  day  thankful you're my day  day 6embed,Javier Pena,Male,30
24/08/2022,skeletons,keshi,Soul,03:15,16/07/2019,stressed out feelin' lost and i don't know what to do now what i chose ain't really gonna work out fallin' six feet underneath the floor now think i'm gonna tap out oohahh oohahh  pre feel bad go to bed wake up even worse yeah so sad in my head feelin' like a curse i need medicine medicine medicine  all my skeletons out for the taking oohahh yeah i don't even know if i'ma make it i'm afraid of myself and i hate it oohahh all my skeletons out for the taking somebody take 'em   i wanna run away the day to day is taking its toll on me and i'm tearin' at the seams oohahh throw it all away give a fuck about what they say i gotta disagree this ain't really fun for me  pre feel bad go to bed wake up even worse yeah so sad in my head feelin' like a curse i need medicine medicine medicine   all my skeletons out for the taking oohahh yeah i don't even know if i'ma make it i'm afraid of myself and i hate it oohahh all my skeletons out for the taking somebody take 'em7embed,Javier Pena,Male,30
24/08/2022,Robbers,The 1975,Indie,04:15,02/09/2013,robbers lyrics she had a face straight out a magazine god only knows but you'll never leave her her balaclava is starting to chafe and when she gets his gun he's begging babe stay stay stay  i'll give you one more time we'll give you one more fight said one more line will i know you now if you never shoot you'll never know and if you never eat you'll never grow you've got a pretty kind of dirty face and when she's leaving your home she's begging you to stay stay stay stay stay  i'll give you one more time we'll give you one more fight said one more line there'll be a riot 'cause i know you  well now that you've got your gun it's much harder now the police have come and i'll shoot him if it's what you ask but if you'd just take off your mask you'd find out everything's gone wrong  now everybody's dead and they're driving past my old school and he's got his gun he's got his suit on she says babe you look so cool you look so cool you look so cool you look so cool you look so cool you look so cool 'cause i know you side factembed,Javier Pena,Male,30
25/08/2022,Dancing in the kitchen,LANY,Alternative/Indie,03:28,25/06/2021,dancing in the kitchen lyrics city lights looking like ice underneath the stars beautiful but i'd rather be right here where we are go and tell your friends we're running late again what you think pour another drink and call off the car  pre i could spend a thousand nights right here inside this room   mhm swear the only one i want is you and it doesn't matter what we do we could have nothing at all and it'd still feel like nothing's missing now we're moving like we're on the moon dom pérignon drip on our shoes we could fly around the world but we always end up dancing in the kitchen dancing in the kitchen  i don't mind if this whole town goes up in flames as long as i got you with me i'ma be okay slide across the floor i'm forever yours yeah what you think pour another drink put it on replay  pre i could spend a thousand nights right here inside this room   mhm swear the only one i want is you and it doesn't matter what we do we could have nothing at all and it'd still feel like nothing's missing now we're moving like we're on the moon dom pérignon drip on our shoes we could fly around the world but we always end up dancing in the kitchen dancing in the kitchen dancing in the kitchen dancing in the kitchen dancing in the kitchen dancing in the kitchen dancing in the kitchen dancing in the kitchen   i could spend a thousand nights right here inside this room tell me baby if you feel the same way that i do   mhm swear the only one i want is you and it doesn't matter what we do we could have nothing at all and it'd still feel like nothing's missing now we're moving like we're on the moon dom pérignon drip on our shoes we could fly around the world but we always end up dancing in the kitchen dancing in the kitchen dancing in the kitchen dancing in the kitchen dancing in the kitchen dancing in the kitchen dancing in the kitchen dancing in the kitchenembed,Javier Pena,Male,30
25/08/2022,Every Teardrop Is a Waterfall,Coldplay,Alternative Rock,04:03,03/06/2011,every teardrop is a waterfall lyrics i turn the music up i got my records on i shut the world outside until the lights come on maybe the streets alight maybe the trees are gone i feel my heart start beating to my favorite song and all the kids they dance all the kids all night until monday morning feels another life i turn the music up i'm on a roll this time and heaven is in sight  i turn the music up i got my records on from underneath the rubble sing a rebel song don't want to see another generation drop i'd rather be a comma than a full stop maybe i'm in the black maybe i'm on my knees maybe i'm in the gap between the two trapezes but my heart is beating and my pulses start cathedrals in my heart pre as we saw oh this light i swear you emerge blinking in to to tell me it's alright as we soar walls every siren is a symphony  and every tear's a waterfall is a waterfall oh is a waterfall ohohoh is a is a waterfall every tear is a waterfall ohohoh  so you can hurt hurt me bad but still i'll raise the flag  oh it was a wawawawawaterfall a wawawawawaterfall every tear every tear every teardrop is a waterfall every tear every tear every teardrop is a waterfall every tear every tear every teardrop is a waterfall every tear every tear every teardrop is a waterfall every tear every tear every teardrop is a waterfall6embed,Javier Pena,Male,30
25/08/2022,Another Day,Fiji Blue,Soul/R&B,02:34,09/09/2021,another day lyrics i wish i could fall in love with you another day im missing a couple words that i should probably say theres no point in trying im sorry youre crying i wish i could fall in love with you another day pre i dont want to keep you here waiting  wish i could make it okay right now right now but i got nothing to say right now right now to tell you the truth if i was you id be running away by now by now wish i could make it okay right now right now but i got nothing to say right now right now to tell you the truth if i was you id be running away by now by now i wish i could fall in love with you another day my heart is a cloud that always tends to float away now it's raining from your ceiling enough for you to swim in i dont want to get in your way wish i could fall in love with you another day pre i dont want to keep you here waiting no i dont  wish i could make it okay right now right now but i got nothing to say right now right now to tell you the truth if i was you id be running away by now by now wish i could make it okay right now right now but i got nothing to say right now right now to tell you the truth if i was you id be running away by now by now  to tell you the truth if i was you id be running away by nowembed,Javier Pena,Male,30
